"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","338","Validar estrutura da lista e raças principais","","Thu Apr 02 16:46:42 UTC 2026","passed","Thu Apr 02 16:46:42 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveValidarEstruturaEConteudoDaLista"
"","1849","Validar contrato e integridade das imagens Validar raça: labrador","","Thu Apr 02 16:46:38 UTC 2026","passed","Thu Apr 02 16:46:40 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","1859","Validar contrato e status success","","Thu Apr 02 16:46:50 UTC 2026","passed","Thu Apr 02 16:46:52 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
"","1904","BUG: Erro 400 para contagem zero","","Thu Apr 02 16:46:48 UTC 2026","failed","Thu Apr 02 16:46:50 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroZero"
"","3172","Validar busca com termo de artigo existente","","Thu Apr 02 16:46:27 UTC 2026","passed","Thu Apr 02 16:46:31 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarBuscaComSucesso"
"","349","Validar contrato e integridade das imagens Validar raça: bulldog","","Thu Apr 02 16:46:40 UTC 2026","passed","Thu Apr 02 16:46:40 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","2049","deveRetornarImagensDiferentes() Validando Aleatoriedade: 2/3","","Thu Apr 02 16:46:45 UTC 2026","passed","Thu Apr 02 16:46:47 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","1950","Validar SLA de resposta","","Thu Apr 02 16:46:36 UTC 2026","passed","Thu Apr 02 16:46:38 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveResponderDentroDoSLA"
"","2909","Validar busca funcional sem textos","","Thu Apr 02 16:46:24 UTC 2026","passed","Thu Apr 02 16:46:27 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","testarBuscaVazia"
"","2543","Validar busca funcional com termos inexistente","","Thu Apr 02 16:46:31 UTC 2026","passed","Thu Apr 02 16:46:33 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","buscarTermoInexistente"
"","236","Validar sub-raças do Bulldog","","Thu Apr 02 16:46:42 UTC 2026","passed","Thu Apr 02 16:46:42 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveRetornarSubRacasParaBulldog"
"","2048","deveRetornarImagensDiferentes() Validando Aleatoriedade: 1/3","","Thu Apr 02 16:46:42 UTC 2026","passed","Thu Apr 02 16:46:45 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","283","Validar imagens de sub-raça (English Bulldog)","","Thu Apr 02 16:46:41 UTC 2026","passed","Thu Apr 02 16:46:41 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarImagensParaSubRaca"
"","1867","BUG: Erro 400 para contagem negativa","","Thu Apr 02 16:46:54 UTC 2026","failed","Thu Apr 02 16:46:56 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNegativo"
"","258","Validar SLA de resposta","","Thu Apr 02 16:46:42 UTC 2026","passed","Thu Apr 02 16:46:42 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveResponderDentroDoSLA"
"","1817","deveRetornarImagensDiferentes() Validando Aleatoriedade: 3/3","","Thu Apr 02 16:46:47 UTC 2026","passed","Thu Apr 02 16:46:48 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","248","Validar erro 404 para raça inexistente","","Thu Apr 02 16:46:41 UTC 2026","passed","Thu Apr 02 16:46:42 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarErroParaRacaInexistente"
"","9314","Validar limites de quantidade (3 e 50)","","Thu Apr 02 16:46:59 UTC 2026","passed","Thu Apr 02 16:47:09 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveValidarLimitesDeQuantidade"
"","1611","Validar tempo de resposta","","Thu Apr 02 16:46:58 UTC 2026","passed","Thu Apr 02 16:46:59 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
"","335","Validar contrato e integridade das imagens Validar raça: husky","","Thu Apr 02 16:46:40 UTC 2026","passed","Thu Apr 02 16:46:41 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"A API aceita letras e retorna 200/sucesso, ignorando a tipagem do parâmetro.","1776","BUG: Erro 400 para input não numérico","","Thu Apr 02 16:46:56 UTC 2026","failed","Thu Apr 02 16:46:58 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNaoNumerico"
"","276","Validar contrato e integridade das imagens Validar raça: akita","","Thu Apr 02 16:46:41 UTC 2026","passed","Thu Apr 02 16:46:41 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","1944","Validar integridade da URL da imagem","","Thu Apr 02 16:46:52 UTC 2026","passed","Thu Apr 02 16:46:54 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarUrlValidaComExtensao"
"","3606","Validar busca funcional com termos genéricos","","Thu Apr 02 16:46:21 UTC 2026","passed","Thu Apr 02 16:46:24 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarInputInvalido"
