"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","273","Validar contrato e integridade das imagens Validar raça: husky","","Thu Apr 02 16:52:13 UTC 2026","passed","Thu Apr 02 16:52:13 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","1835","Validar contrato e integridade das imagens Validar raça: labrador","","Thu Apr 02 16:52:10 UTC 2026","passed","Thu Apr 02 16:52:12 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","241","Validar contrato e integridade das imagens Validar raça: akita","","Thu Apr 02 16:52:13 UTC 2026","passed","Thu Apr 02 16:52:13 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","3791","Validar limites de quantidade (3 e 50)","","Thu Apr 02 16:52:29 UTC 2026","passed","Thu Apr 02 16:52:33 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveValidarLimitesDeQuantidade"
"","1713","Validar integridade da URL da imagem","","Thu Apr 02 16:52:21 UTC 2026","passed","Thu Apr 02 16:52:23 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarUrlValidaComExtensao"
"","1769","Validar contrato e status success","","Thu Apr 02 16:52:20 UTC 2026","passed","Thu Apr 02 16:52:21 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
"","2750","Validar busca funcional com termos inexistente","","Thu Apr 02 16:52:02 UTC 2026","passed","Thu Apr 02 16:52:05 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","buscarTermoInexistente"
"","295","Validar estrutura da lista e raças principais","","Thu Apr 02 16:52:14 UTC 2026","passed","Thu Apr 02 16:52:14 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveValidarEstruturaEConteudoDaLista"
"","1813","Validar tempo de resposta","","Thu Apr 02 16:52:27 UTC 2026","passed","Thu Apr 02 16:52:29 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
"","3723","Validar busca funcional com termos genéricos","","Thu Apr 02 16:51:53 UTC 2026","passed","Thu Apr 02 16:51:56 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarInputInvalido"
"","1487","deveRetornarImagensDiferentes() Validando Aleatoriedade: 2/3","","Thu Apr 02 16:52:15 UTC 2026","passed","Thu Apr 02 16:52:17 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"A API aceita letras e retorna 200/sucesso, ignorando a tipagem do parâmetro.","2026","BUG: Erro 400 para input não numérico","","Thu Apr 02 16:52:25 UTC 2026","failed","Thu Apr 02 16:52:27 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNaoNumerico"
"","1221","deveRetornarImagensDiferentes() Validando Aleatoriedade: 3/3","","Thu Apr 02 16:52:17 UTC 2026","passed","Thu Apr 02 16:52:18 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","1002","deveRetornarImagensDiferentes() Validando Aleatoriedade: 1/3","","Thu Apr 02 16:52:14 UTC 2026","passed","Thu Apr 02 16:52:15 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","218","Validar imagens de sub-raça (English Bulldog)","","Thu Apr 02 16:52:13 UTC 2026","passed","Thu Apr 02 16:52:13 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarImagensParaSubRaca"
"","2991","Validar busca funcional sem textos","","Thu Apr 02 16:51:56 UTC 2026","passed","Thu Apr 02 16:51:59 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","testarBuscaVazia"
"","1829","BUG: Erro 400 para contagem negativa","","Thu Apr 02 16:52:23 UTC 2026","failed","Thu Apr 02 16:52:25 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNegativo"
"","197","Validar SLA de resposta","","Thu Apr 02 16:52:14 UTC 2026","passed","Thu Apr 02 16:52:14 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveResponderDentroDoSLA"
"","222","Validar erro 404 para raça inexistente","","Thu Apr 02 16:52:13 UTC 2026","passed","Thu Apr 02 16:52:14 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarErroParaRacaInexistente"
"","203","Validar sub-raças do Bulldog","","Thu Apr 02 16:52:14 UTC 2026","passed","Thu Apr 02 16:52:14 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveRetornarSubRacasParaBulldog"
"","3094","Validar busca com termo de artigo existente","","Thu Apr 02 16:51:59 UTC 2026","passed","Thu Apr 02 16:52:02 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarBuscaComSucesso"
"","1726","BUG: Erro 400 para contagem zero","","Thu Apr 02 16:52:18 UTC 2026","failed","Thu Apr 02 16:52:20 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroZero"
"","318","Validar contrato e integridade das imagens Validar raça: bulldog","","Thu Apr 02 16:52:12 UTC 2026","passed","Thu Apr 02 16:52:13 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","1861","Validar SLA de resposta","","Thu Apr 02 16:52:08 UTC 2026","passed","Thu Apr 02 16:52:10 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveResponderDentroDoSLA"
