"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","257","Validar erro 404 para raça inexistente","","Thu Apr 02 17:52:03 UTC 2026","passed","Thu Apr 02 17:52:04 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarErroParaRacaInexistente"
"","1934","Validar SLA de resposta","","Thu Apr 02 17:51:59 UTC 2026","passed","Thu Apr 02 17:52:00 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveResponderDentroDoSLA"
"","252","Validar estrutura da lista e raças principais","","Thu Apr 02 17:52:04 UTC 2026","passed","Thu Apr 02 17:52:04 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveValidarEstruturaEConteudoDaLista"
"","558","deveRetornarImagensDiferentes() Validando Aleatoriedade: 1/3","","Thu Apr 02 17:52:04 UTC 2026","passed","Thu Apr 02 17:52:05 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","651","Validar busca funcional sem textos","","Thu Apr 02 17:51:53 UTC 2026","passed","Thu Apr 02 17:51:54 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","testarBuscaVazia"
"","164","Validar SLA de resposta","","Thu Apr 02 17:52:04 UTC 2026","passed","Thu Apr 02 17:52:04 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveResponderDentroDoSLA"
"","1774","Validar contrato e integridade das imagens Validar raça: labrador","","Thu Apr 02 17:52:01 UTC 2026","passed","Thu Apr 02 17:52:02 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","321","Validar contrato e status success","","Thu Apr 02 17:52:07 UTC 2026","passed","Thu Apr 02 17:52:07 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
"","496","BUG: Erro 400 para contagem zero","","Thu Apr 02 17:52:06 UTC 2026","failed","Thu Apr 02 17:52:07 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroZero"
"","565","deveRetornarImagensDiferentes() Validando Aleatoriedade: 3/3","","Thu Apr 02 17:52:06 UTC 2026","passed","Thu Apr 02 17:52:06 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","700","deveRetornarImagensDiferentes() Validando Aleatoriedade: 2/3","","Thu Apr 02 17:52:05 UTC 2026","passed","Thu Apr 02 17:52:06 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","185","BUG: Erro 400 para contagem negativa","","Thu Apr 02 17:52:07 UTC 2026","failed","Thu Apr 02 17:52:07 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNegativo"
"","540","Validar busca funcional com termos inexistente","","Thu Apr 02 17:51:55 UTC 2026","passed","Thu Apr 02 17:51:55 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","buscarTermoInexistente"
"","342","Validar tempo de resposta","","Thu Apr 02 17:52:08 UTC 2026","passed","Thu Apr 02 17:52:08 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
"","4015","Validar busca funcional com termos genéricos","","Thu Apr 02 17:51:49 UTC 2026","passed","Thu Apr 02 17:51:53 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarInputInvalido"
"","178","Validar imagens de sub-raça (English Bulldog)","","Thu Apr 02 17:52:03 UTC 2026","passed","Thu Apr 02 17:52:03 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarImagensParaSubRaca"
"","324","Validar integridade da URL da imagem","","Thu Apr 02 17:52:07 UTC 2026","passed","Thu Apr 02 17:52:07 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarUrlValidaComExtensao"
"","275","Validar contrato e integridade das imagens Validar raça: akita","","Thu Apr 02 17:52:03 UTC 2026","passed","Thu Apr 02 17:52:03 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","539","Validar busca com termo de artigo existente","","Thu Apr 02 17:51:54 UTC 2026","passed","Thu Apr 02 17:51:55 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarBuscaComSucesso"
