"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A API aceita letras e retorna 200/sucesso, ignorando a tipagem do parâmetro.","6399","BUG: Erro 400 para input não numérico","","Thu Apr 02 13:42:01 UTC 2026","failed","Thu Apr 02 13:42:08 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNaoNumerico"
"","3351","deveRetornarImagensDiferentes() Validando Aleatoriedade: 2/3","","Thu Apr 02 13:41:29 UTC 2026","passed","Thu Apr 02 13:41:32 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","4863","Validar tempo de resposta","","Thu Apr 02 13:42:08 UTC 2026","passed","Thu Apr 02 13:42:12 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
"","211","Validar erro 404 para raça inexistente","","Thu Apr 02 13:41:24 UTC 2026","passed","Thu Apr 02 13:41:24 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarErroParaRacaInexistente"
"","6701","BUG: Erro 400 para contagem negativa","","Thu Apr 02 13:41:54 UTC 2026","failed","Thu Apr 02 13:42:01 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNegativo"
"","2032","Validar SLA de resposta","","Thu Apr 02 13:41:19 UTC 2026","passed","Thu Apr 02 13:41:21 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveResponderDentroDoSLA"
"","1777","Validar contrato e integridade das imagens Validar raça: labrador","","Thu Apr 02 13:41:21 UTC 2026","passed","Thu Apr 02 13:41:23 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","236","Validar contrato e integridade das imagens Validar raça: akita","","Thu Apr 02 13:41:23 UTC 2026","passed","Thu Apr 02 13:41:24 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","201","Validar sub-raças do Bulldog","","Thu Apr 02 13:41:25 UTC 2026","passed","Thu Apr 02 13:41:25 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveRetornarSubRacasParaBulldog"
"","6890","Validar contrato e status success","","Thu Apr 02 13:41:41 UTC 2026","passed","Thu Apr 02 13:41:48 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
"","463","Validar estrutura da lista e raças principais","","Thu Apr 02 13:41:24 UTC 2026","passed","Thu Apr 02 13:41:25 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveValidarEstruturaEConteudoDaLista"
"","300","Validar contrato e integridade das imagens Validar raça: bulldog","","Thu Apr 02 13:41:23 UTC 2026","passed","Thu Apr 02 13:41:23 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","404","Validar contrato e integridade das imagens Validar raça: husky","","Thu Apr 02 13:41:23 UTC 2026","passed","Thu Apr 02 13:41:23 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","5330","BUG: Erro 400 para contagem zero","","Thu Apr 02 13:41:36 UTC 2026","failed","Thu Apr 02 13:41:41 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroZero"
"","3637","deveRetornarImagensDiferentes() Validando Aleatoriedade: 3/3","","Thu Apr 02 13:41:32 UTC 2026","passed","Thu Apr 02 13:41:36 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","7387","Validar limites de quantidade (3 e 50)","","Thu Apr 02 13:42:12 UTC 2026","passed","Thu Apr 02 13:42:20 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveValidarLimitesDeQuantidade"
"","6704","Validar integridade da URL da imagem","","Thu Apr 02 13:41:48 UTC 2026","passed","Thu Apr 02 13:41:54 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarUrlValidaComExtensao"
"","218","Validar imagens de sub-raça (English Bulldog)","","Thu Apr 02 13:41:24 UTC 2026","passed","Thu Apr 02 13:41:24 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarImagensParaSubRaca"
"","207","Validar SLA de resposta","","Thu Apr 02 13:41:25 UTC 2026","passed","Thu Apr 02 13:41:25 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveResponderDentroDoSLA"
"","3529","deveRetornarImagensDiferentes() Validando Aleatoriedade: 1/3","","Thu Apr 02 13:41:25 UTC 2026","passed","Thu Apr 02 13:41:29 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
