"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","301","Validar estrutura da lista e raças principais","","Thu Apr 02 18:09:08 UTC 2026","passed","Thu Apr 02 18:09:09 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveValidarEstruturaEConteudoDaLista"
"","221","Validar erro 404 para raça inexistente","","Thu Apr 02 18:09:08 UTC 2026","passed","Thu Apr 02 18:09:08 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarErroParaRacaInexistente"
"","584","deveRetornarImagensDiferentes() Validando Aleatoriedade: 3/3","","Thu Apr 02 18:09:11 UTC 2026","passed","Thu Apr 02 18:09:12 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","241","Validar contrato e integridade das imagens Validar raça: akita","","Thu Apr 02 18:09:08 UTC 2026","passed","Thu Apr 02 18:09:08 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","895","Validar contrato e status success","","Thu Apr 02 18:09:13 UTC 2026","passed","Thu Apr 02 18:09:13 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
"","2126","Validar SLA de resposta","","Thu Apr 02 18:09:03 UTC 2026","passed","Thu Apr 02 18:09:05 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveResponderDentroDoSLA"
"","811","BUG: Erro 400 para contagem zero","","Thu Apr 02 18:09:12 UTC 2026","failed","Thu Apr 02 18:09:13 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroZero"
"","2413","Validar limites de quantidade (3 e 50)","","Thu Apr 02 18:09:18 UTC 2026","passed","Thu Apr 02 18:09:20 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveValidarLimitesDeQuantidade"
"","317","Validar contrato e integridade das imagens Validar raça: bulldog","","Thu Apr 02 18:09:07 UTC 2026","passed","Thu Apr 02 18:09:07 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","647","Validar busca funcional sem textos","","Thu Apr 02 18:08:57 UTC 2026","passed","Thu Apr 02 18:08:58 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","testarBuscaVazia"
"","270","Validar contrato e integridade das imagens Validar raça: husky","","Thu Apr 02 18:09:07 UTC 2026","passed","Thu Apr 02 18:09:08 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","897","Validar integridade da URL da imagem","","Thu Apr 02 18:09:13 UTC 2026","passed","Thu Apr 02 18:09:14 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarUrlValidaComExtensao"
"","8556","Validar busca funcional com termos genéricos","","Thu Apr 02 18:08:49 UTC 2026","passed","Thu Apr 02 18:08:57 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarInputInvalido"
"","610","Validar busca funcional com termos inexistente","","Thu Apr 02 18:08:59 UTC 2026","passed","Thu Apr 02 18:08:59 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","buscarTermoInexistente"
"","947","BUG: Erro 400 para contagem negativa","","Thu Apr 02 18:09:14 UTC 2026","failed","Thu Apr 02 18:09:15 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNegativo"
"","227","Validar imagens de sub-raça (English Bulldog)","","Thu Apr 02 18:09:08 UTC 2026","passed","Thu Apr 02 18:09:08 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarImagensParaSubRaca"
"","2026","Validar contrato e integridade das imagens Validar raça: labrador","","Thu Apr 02 18:09:05 UTC 2026","passed","Thu Apr 02 18:09:07 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","603","Validar busca com termo de artigo existente","","Thu Apr 02 18:08:58 UTC 2026","passed","Thu Apr 02 18:08:59 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarBuscaComSucesso"
"","1182","deveRetornarImagensDiferentes() Validando Aleatoriedade: 1/3","","Thu Apr 02 18:09:09 UTC 2026","passed","Thu Apr 02 18:09:10 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","195","Validar SLA de resposta","","Thu Apr 02 18:09:09 UTC 2026","passed","Thu Apr 02 18:09:09 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveResponderDentroDoSLA"
"","922","deveRetornarImagensDiferentes() Validando Aleatoriedade: 2/3","","Thu Apr 02 18:09:10 UTC 2026","passed","Thu Apr 02 18:09:11 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"A API aceita letras e retorna 200/sucesso, ignorando a tipagem do parâmetro.","1110","BUG: Erro 400 para input não numérico","","Thu Apr 02 18:09:15 UTC 2026","failed","Thu Apr 02 18:09:16 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNaoNumerico"
"","207","Validar sub-raças do Bulldog","","Thu Apr 02 18:09:09 UTC 2026","passed","Thu Apr 02 18:09:09 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveRetornarSubRacasParaBulldog"
"","1180","Validar tempo de resposta","","Thu Apr 02 18:09:16 UTC 2026","passed","Thu Apr 02 18:09:18 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
