"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","193","Validar imagens de sub-raça (English Bulldog)","","Thu Apr 02 18:17:43 UTC 2026","passed","Thu Apr 02 18:17:44 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarImagensParaSubRaca"
"","215","Validar contrato e integridade das imagens Validar raça: akita","","Thu Apr 02 18:17:43 UTC 2026","passed","Thu Apr 02 18:17:43 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","1670","Validar contrato e status success","","Thu Apr 02 18:17:51 UTC 2026","passed","Thu Apr 02 18:17:53 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
"","5174","Validar busca funcional com termos genéricos","","Thu Apr 02 18:17:28 UTC 2026","passed","Thu Apr 02 18:17:33 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarInputInvalido"
"","1075","Validar tempo de resposta","","Thu Apr 02 18:17:57 UTC 2026","passed","Thu Apr 02 18:17:58 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
"","234","Validar contrato e integridade das imagens Validar raça: husky","","Thu Apr 02 18:17:43 UTC 2026","passed","Thu Apr 02 18:17:43 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","156","Validar SLA de resposta","","Thu Apr 02 18:17:44 UTC 2026","passed","Thu Apr 02 18:17:44 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveResponderDentroDoSLA"
"","563","Validar contrato e integridade das imagens Validar raça: bulldog","","Thu Apr 02 18:17:42 UTC 2026","passed","Thu Apr 02 18:17:43 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"A API aceita letras e retorna 200/sucesso, ignorando a tipagem do parâmetro.","1121","BUG: Erro 400 para input não numérico","","Thu Apr 02 18:17:56 UTC 2026","failed","Thu Apr 02 18:17:57 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNaoNumerico"
"","1600","deveRetornarImagensDiferentes() Validando Aleatoriedade: 2/3","","Thu Apr 02 18:17:46 UTC 2026","passed","Thu Apr 02 18:17:48 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","188","Validar erro 404 para raça inexistente","","Thu Apr 02 18:17:44 UTC 2026","passed","Thu Apr 02 18:17:44 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarErroParaRacaInexistente"
"","264","Validar estrutura da lista e raças principais","","Thu Apr 02 18:17:44 UTC 2026","passed","Thu Apr 02 18:17:44 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveValidarEstruturaEConteudoDaLista"
"","594","Validar busca com termo de artigo existente","","Thu Apr 02 18:17:34 UTC 2026","passed","Thu Apr 02 18:17:34 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarBuscaComSucesso"
"","1767","deveRetornarImagensDiferentes() Validando Aleatoriedade: 3/3","","Thu Apr 02 18:17:48 UTC 2026","passed","Thu Apr 02 18:17:49 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","591","Validar busca funcional com termos inexistente","","Thu Apr 02 18:17:34 UTC 2026","passed","Thu Apr 02 18:17:35 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","buscarTermoInexistente"
"","1456","Validar integridade da URL da imagem","","Thu Apr 02 18:17:53 UTC 2026","passed","Thu Apr 02 18:17:54 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarUrlValidaComExtensao"
"","1906","Validar limites de quantidade (3 e 50)","","Thu Apr 02 18:17:58 UTC 2026","passed","Thu Apr 02 18:18:00 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveValidarLimitesDeQuantidade"
"","1754","Validar contrato e integridade das imagens Validar raça: labrador","","Thu Apr 02 18:17:41 UTC 2026","passed","Thu Apr 02 18:17:42 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","1507","deveRetornarImagensDiferentes() Validando Aleatoriedade: 1/3","","Thu Apr 02 18:17:45 UTC 2026","passed","Thu Apr 02 18:17:46 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","1293","BUG: Erro 400 para contagem negativa","","Thu Apr 02 18:17:54 UTC 2026","failed","Thu Apr 02 18:17:56 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNegativo"
"","268","Validar sub-raças do Bulldog","","Thu Apr 02 18:17:44 UTC 2026","passed","Thu Apr 02 18:17:45 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveRetornarSubRacasParaBulldog"
"","1748","BUG: Erro 400 para contagem zero","","Thu Apr 02 18:17:49 UTC 2026","failed","Thu Apr 02 18:17:51 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroZero"
"","2093","Validar SLA de resposta","","Thu Apr 02 18:17:38 UTC 2026","passed","Thu Apr 02 18:17:41 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveResponderDentroDoSLA"
"","754","Validar busca funcional sem textos","","Thu Apr 02 18:17:33 UTC 2026","passed","Thu Apr 02 18:17:34 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","testarBuscaVazia"
