"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","178","Validar erro 404 para raça inexistente","","Thu Apr 02 17:30:23 UTC 2026","passed","Thu Apr 02 17:30:23 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarErroParaRacaInexistente"
"","180","Validar imagens de sub-raça (English Bulldog)","","Thu Apr 02 17:30:23 UTC 2026","passed","Thu Apr 02 17:30:23 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarImagensParaSubRaca"
"","469","deveRetornarImagensDiferentes() Validando Aleatoriedade: 1/3","","Thu Apr 02 17:30:24 UTC 2026","passed","Thu Apr 02 17:30:24 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","683","Validar integridade da URL da imagem","","Thu Apr 02 17:30:28 UTC 2026","passed","Thu Apr 02 17:30:28 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarUrlValidaComExtensao"
"","237","Validar contrato e integridade das imagens Validar raça: husky","","Thu Apr 02 17:30:23 UTC 2026","passed","Thu Apr 02 17:30:23 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","493","Validar tempo de resposta","","Thu Apr 02 17:30:29 UTC 2026","passed","Thu Apr 02 17:30:30 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
"","486","deveRetornarImagensDiferentes() Validando Aleatoriedade: 3/3","","Thu Apr 02 17:30:25 UTC 2026","passed","Thu Apr 02 17:30:26 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","616","Validar contrato e status success","","Thu Apr 02 17:30:27 UTC 2026","passed","Thu Apr 02 17:30:28 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
"","1420","Validar limites de quantidade (3 e 50)","","Thu Apr 02 17:30:30 UTC 2026","passed","Thu Apr 02 17:30:31 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveValidarLimitesDeQuantidade"
"","925","Validar contrato e integridade das imagens Validar raça: bulldog","","Thu Apr 02 17:30:22 UTC 2026","passed","Thu Apr 02 17:30:23 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","191","Validar contrato e integridade das imagens Validar raça: akita","","Thu Apr 02 17:30:23 UTC 2026","passed","Thu Apr 02 17:30:23 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
