"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1190","deveRetornarImagensDiferentes() Validando Aleatoriedade: 3/3","","Thu Apr 02 17:21:37 UTC 2026","passed","Thu Apr 02 17:21:39 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","160","Validar erro 404 para raça inexistente","","Thu Apr 02 17:21:34 UTC 2026","passed","Thu Apr 02 17:21:34 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarErroParaRacaInexistente"
"","2285","Validar tempo de resposta","","Thu Apr 02 17:21:49 UTC 2026","passed","Thu Apr 02 17:21:51 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
"","5230","Validar busca funcional com termos genéricos","","Thu Apr 02 17:21:19 UTC 2026","passed","Thu Apr 02 17:21:25 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarInputInvalido"
"","547","Validar busca com termo de artigo existente","","Thu Apr 02 17:21:25 UTC 2026","passed","Thu Apr 02 17:21:26 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarBuscaComSucesso"
"","276","Validar sub-raças do Bulldog","","Thu Apr 02 17:21:35 UTC 2026","passed","Thu Apr 02 17:21:35 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveRetornarSubRacasParaBulldog"
"A API aceita letras e retorna 200/sucesso, ignorando a tipagem do parâmetro.","2512","BUG: Erro 400 para input não numérico","","Thu Apr 02 17:21:46 UTC 2026","failed","Thu Apr 02 17:21:49 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNaoNumerico"
"","541","Validar busca funcional com termos inexistente","","Thu Apr 02 17:21:26 UTC 2026","passed","Thu Apr 02 17:21:26 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","buscarTermoInexistente"
"","1206","deveRetornarImagensDiferentes() Validando Aleatoriedade: 2/3","","Thu Apr 02 17:21:36 UTC 2026","passed","Thu Apr 02 17:21:37 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","139","Validar SLA de resposta","","Thu Apr 02 17:21:35 UTC 2026","passed","Thu Apr 02 17:21:35 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveResponderDentroDoSLA"
"","181","Validar contrato e integridade das imagens Validar raça: akita","","Thu Apr 02 17:21:34 UTC 2026","passed","Thu Apr 02 17:21:34 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","1828","Validar contrato e status success","","Thu Apr 02 17:21:40 UTC 2026","passed","Thu Apr 02 17:21:42 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
"","595","Validar busca funcional sem textos","","Thu Apr 02 17:21:25 UTC 2026","passed","Thu Apr 02 17:21:25 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","testarBuscaVazia"
"","1416","BUG: Erro 400 para contagem zero","","Thu Apr 02 17:21:39 UTC 2026","failed","Thu Apr 02 17:21:40 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroZero"
"","268","Validar imagens de sub-raça (English Bulldog)","","Thu Apr 02 17:21:34 UTC 2026","passed","Thu Apr 02 17:21:34 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarImagensParaSubRaca"
"","2167","BUG: Erro 400 para contagem negativa","","Thu Apr 02 17:21:44 UTC 2026","failed","Thu Apr 02 17:21:46 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNegativo"
"","1830","Validar SLA de resposta","","Thu Apr 02 17:21:30 UTC 2026","passed","Thu Apr 02 17:21:31 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveResponderDentroDoSLA"
"","1653","Validar contrato e integridade das imagens Validar raça: labrador","","Thu Apr 02 17:21:32 UTC 2026","passed","Thu Apr 02 17:21:33 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","2253","Validar integridade da URL da imagem","","Thu Apr 02 17:21:42 UTC 2026","passed","Thu Apr 02 17:21:44 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarUrlValidaComExtensao"
"","241","Validar estrutura da lista e raças principais","","Thu Apr 02 17:21:34 UTC 2026","passed","Thu Apr 02 17:21:35 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveValidarEstruturaEConteudoDaLista"
"","248","Validar contrato e integridade das imagens Validar raça: bulldog","","Thu Apr 02 17:21:33 UTC 2026","passed","Thu Apr 02 17:21:33 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","204","Validar contrato e integridade das imagens Validar raça: husky","","Thu Apr 02 17:21:33 UTC 2026","passed","Thu Apr 02 17:21:34 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","1278","deveRetornarImagensDiferentes() Validando Aleatoriedade: 1/3","","Thu Apr 02 17:21:35 UTC 2026","passed","Thu Apr 02 17:21:36 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","4424","Validar limites de quantidade (3 e 50)","","Thu Apr 02 17:21:51 UTC 2026","passed","Thu Apr 02 17:21:56 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveValidarLimitesDeQuantidade"
