"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1310","Validar tempo de resposta","","Thu Apr 02 16:35:31 UTC 2026","passed","Thu Apr 02 16:35:32 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
"","1837","BUG: Erro 400 para contagem negativa","","Thu Apr 02 16:35:27 UTC 2026","failed","Thu Apr 02 16:35:29 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNegativo"
"","1331","deveRetornarImagensDiferentes() Validando Aleatoriedade: 1/3","","Thu Apr 02 16:35:18 UTC 2026","passed","Thu Apr 02 16:35:19 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","207","Validar contrato e integridade das imagens Validar raça: husky","","Thu Apr 02 16:35:17 UTC 2026","passed","Thu Apr 02 16:35:17 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","2352","Validar busca funcional com termos inexistente","","Thu Apr 02 16:35:04 UTC 2026","passed","Thu Apr 02 16:35:07 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","buscarTermoInexistente"
"","148","Validar SLA de resposta","","Thu Apr 02 16:35:18 UTC 2026","passed","Thu Apr 02 16:35:18 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveResponderDentroDoSLA"
"A API aceita letras e retorna 200/sucesso, ignorando a tipagem do parâmetro.","1482","BUG: Erro 400 para input não numérico","","Thu Apr 02 16:35:29 UTC 2026","failed","Thu Apr 02 16:35:31 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNaoNumerico"
"","3705","Validar busca funcional com termos genéricos","","Thu Apr 02 16:34:55 UTC 2026","passed","Thu Apr 02 16:34:59 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarInputInvalido"
"","3148","Validar limites de quantidade (3 e 50)","","Thu Apr 02 16:35:32 UTC 2026","passed","Thu Apr 02 16:35:35 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveValidarLimitesDeQuantidade"
"","1535","Validar integridade da URL da imagem","","Thu Apr 02 16:35:26 UTC 2026","passed","Thu Apr 02 16:35:27 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarUrlValidaComExtensao"
"","2862","Validar busca funcional sem textos","","Thu Apr 02 16:34:59 UTC 2026","passed","Thu Apr 02 16:35:02 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","testarBuscaVazia"
"","158","Validar sub-raças do Bulldog","","Thu Apr 02 16:35:18 UTC 2026","passed","Thu Apr 02 16:35:18 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveRetornarSubRacasParaBulldog"
"","219","Validar estrutura da lista e raças principais","","Thu Apr 02 16:35:18 UTC 2026","passed","Thu Apr 02 16:35:18 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveValidarEstruturaEConteudoDaLista"
"","1570","Validar contrato e status success","","Thu Apr 02 16:35:24 UTC 2026","passed","Thu Apr 02 16:35:26 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
