"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2311","Validar busca funcional com termos inexistente","","Thu Apr 02 14:36:39 UTC 2026","passed","Thu Apr 02 14:36:41 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","buscarTermoInexistente"
"","351","Validar contrato e integridade das imagens Validar raça: husky","","Thu Apr 02 14:36:49 UTC 2026","passed","Thu Apr 02 14:36:49 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","2081","Validar contrato e status success","","Thu Apr 02 14:37:11 UTC 2026","passed","Thu Apr 02 14:37:14 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
"","392","Validar contrato e integridade das imagens Validar raça: bulldog","","Thu Apr 02 14:36:49 UTC 2026","passed","Thu Apr 02 14:36:49 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","401","Validar estrutura da lista e raças principais","","Thu Apr 02 14:37:00 UTC 2026","passed","Thu Apr 02 14:37:01 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveValidarEstruturaEConteudoDaLista"
"","2578","deveRetornarImagensDiferentes() Validando Aleatoriedade: 3/3","","Thu Apr 02 14:37:07 UTC 2026","passed","Thu Apr 02 14:37:09 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","1915","Validar SLA de resposta","","Thu Apr 02 14:36:45 UTC 2026","passed","Thu Apr 02 14:36:47 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveResponderDentroDoSLA"
"","1835","Validar contrato e integridade das imagens Validar raça: labrador","","Thu Apr 02 14:36:47 UTC 2026","passed","Thu Apr 02 14:36:49 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","314","Validar sub-raças do Bulldog","","Thu Apr 02 14:37:01 UTC 2026","passed","Thu Apr 02 14:37:01 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveRetornarSubRacasParaBulldog"
"","2003","Validar integridade da URL da imagem","","Thu Apr 02 14:37:14 UTC 2026","passed","Thu Apr 02 14:37:16 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarUrlValidaComExtensao"
"","2822","deveRetornarImagensDiferentes() Validando Aleatoriedade: 1/3","","Thu Apr 02 14:37:01 UTC 2026","passed","Thu Apr 02 14:37:04 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","2701","Validar busca com termo de artigo existente","","Thu Apr 02 14:36:36 UTC 2026","passed","Thu Apr 02 14:36:39 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarBuscaComSucesso"
"","4377","Validar busca funcional com termos genéricos","","Thu Apr 02 14:36:31 UTC 2026","passed","Thu Apr 02 14:36:36 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarInputInvalido"
