"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1081","deveRetornarImagensDiferentes() Validando Aleatoriedade: 2/3","","Thu Apr 02 16:59:00 UTC 2026","passed","Thu Apr 02 16:59:01 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","1326","BUG: Erro 400 para contagem zero","","Thu Apr 02 16:59:03 UTC 2026","failed","Thu Apr 02 16:59:04 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroZero"
"","908","Validar tempo de resposta","","Thu Apr 02 16:59:08 UTC 2026","passed","Thu Apr 02 16:59:09 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
"","1099","Validar integridade da URL da imagem","","Thu Apr 02 16:59:05 UTC 2026","passed","Thu Apr 02 16:59:06 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarUrlValidaComExtensao"
"","5407","Validar busca funcional com termos genéricos","","Thu Apr 02 16:58:42 UTC 2026","passed","Thu Apr 02 16:58:48 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarInputInvalido"
"","2008","Validar contrato e integridade das imagens Validar raça: labrador","","Thu Apr 02 16:58:55 UTC 2026","passed","Thu Apr 02 16:58:57 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","367","Validar SLA de resposta","","Thu Apr 02 16:58:59 UTC 2026","passed","Thu Apr 02 16:58:59 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveResponderDentroDoSLA"
"A API aceita letras e retorna 200/sucesso, ignorando a tipagem do parâmetro.","1219","BUG: Erro 400 para input não numérico","","Thu Apr 02 16:59:07 UTC 2026","failed","Thu Apr 02 16:59:08 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNaoNumerico"
"","1072","BUG: Erro 400 para contagem negativa","","Thu Apr 02 16:59:06 UTC 2026","failed","Thu Apr 02 16:59:07 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNegativo"
"","267","Validar contrato e integridade das imagens Validar raça: akita","","Thu Apr 02 16:58:58 UTC 2026","passed","Thu Apr 02 16:58:58 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","1082","Validar contrato e status success","","Thu Apr 02 16:59:04 UTC 2026","passed","Thu Apr 02 16:59:05 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
"","2154","Validar SLA de resposta","","Thu Apr 02 16:58:53 UTC 2026","passed","Thu Apr 02 16:58:55 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveResponderDentroDoSLA"
"","239","Validar sub-raças do Bulldog","","Thu Apr 02 16:58:59 UTC 2026","passed","Thu Apr 02 16:58:59 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveRetornarSubRacasParaBulldog"
"","274","Validar erro 404 para raça inexistente","","Thu Apr 02 16:58:58 UTC 2026","passed","Thu Apr 02 16:58:58 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarErroParaRacaInexistente"
"","329","Validar estrutura da lista e raças principais","","Thu Apr 02 16:58:58 UTC 2026","passed","Thu Apr 02 16:58:59 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveValidarEstruturaEConteudoDaLista"
"","1182","deveRetornarImagensDiferentes() Validando Aleatoriedade: 3/3","","Thu Apr 02 16:59:01 UTC 2026","passed","Thu Apr 02 16:59:03 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","617","Validar busca funcional sem textos","","Thu Apr 02 16:58:48 UTC 2026","passed","Thu Apr 02 16:58:48 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","testarBuscaVazia"
